,year,housing_units,neighborhood,sale_price_sqr_foot,gross_rent
96,2011,374507,Outer Mission,142.14256751724554,1530.0
97,2011,374507,Outer Parkside,241.9456564918158,1530.0
98,2011,374507,Outer Richmond ,271.0901395693276,1530.0
99,2011,374507,Outer Sunset,297.2455578459466,1530.0
100,2011,374507,Pacific Heights,509.0214800287398,1530.0
101,2011,374507,Park North,289.60560009472283,1530.0
102,2011,374507,Parkside,217.55878684527903,1530.0
103,2011,374507,Parnassus/Ashbury Heights,466.6178976523653,1530.0
104,2011,374507,Portola,208.1679967483858,1530.0
105,2011,374507,Potrero Hill,503.13850456030497,1530.0
106,2011,374507,Presidio Heights,493.814917282618,1530.0
107,2011,374507,Russian Hill,448.3201042149405,1530.0
108,2011,374507,South Beach,388.6443367815386,1530.0
109,2011,374507,South of Market,337.9141346436501,1530.0
110,2011,374507,Sunnyside,437.1642994919766,1530.0
111,2011,374507,Telegraph Hill,483.4057725178001,1530.0
112,2011,374507,Twin Peaks,284.56696642681646,1530.0
113,2011,374507,Union Square District,302.1232528096913,1530.0
114,2011,374507,Van Ness/ Civic Center,384.23680203579306,1530.0
115,2011,374507,Western Addition,227.4189808649446,1530.0
116,2011,374507,Westwood Highlands,320.0743330547439,1530.0
117,2011,374507,Yerba Buena,438.86054508174806,1530.0
118,2012,376454,Alamo Square,183.09931693145705,2324.0
119,2012,376454,Anza Vista,344.4909139677922,2324.0
120,2012,376454,Bayview,165.7980623916543,2324.0
121,2012,376454,Bernal Heights ,368.2665607883851,2324.0
122,2012,376454,Buena Vista Park,338.60116351046344,2324.0
123,2012,376454,Central Richmond,279.0301399218751,2324.0
124,2012,376454,Central Sunset,334.4878725198492,2324.0
125,2012,376454,Corona Heights,356.79481359087254,2324.0
126,2012,376454,Cow Hollow,644.8183066758802,2324.0
127,2012,376454,Croker Amazon,415.0903401095623,2324.0
128,2012,376454,Diamond Heights,366.9954275112727,2324.0
129,2012,376454,Downtown ,269.109528813633,2324.0
130,2012,376454,Duboce Triangle,452.6600224298405,2324.0
131,2012,376454,Eureka Valley/Dolores Heights,524.8134180834782,2324.0
132,2012,376454,Excelsior,371.0302152741686,2324.0
133,2012,376454,Financial District North,286.35198206738914,2324.0
134,2012,376454,Financial District South,613.8430658201435,2324.0
135,2012,376454,Forest Knolls,434.63234651328025,2324.0
136,2012,376454,Haight Ashbury,418.83037933269526,2324.0
137,2012,376454,Hayes Valley,306.3779578647354,2324.0
138,2012,376454,Inner Mission,336.8259501844992,2324.0
139,2012,376454,Inner Richmond,373.4668636470579,2324.0
140,2012,376454,Inner Sunset,325.8289204181606,2324.0
141,2012,376454,Jordan Park/Laurel Heights,383.1503960980961,2324.0
